set,line,k,intersection
tomotope10,0001|0100|0101,1,0101
tomotope10,0001|1000|1001,1,1001
tomotope10,0001|1100|1101,2,1100 1101
tomotope10,0010|0100|0110,1,0010
tomotope10,0010|1000|1010,2,0010 1010
tomotope10,0010|1100|1110,3,0010 1100 1110
tomotope10,0011|0100|0111,1,0111
tomotope10,0011|1000|1011,1,1011
tomotope10,0011|1100|1111,2,1100 1111
tomotope10,0101|1010|1111,3,0101 1010 1111
tomotope10,0101|1011|1110,3,0101 1011 1110
tomotope10,0110|1001|1111,2,1001 1111
tomotope10,0110|1011|1101,2,1011 1101
tomotope10,0111|1001|1110,3,0111 1001 1110
tomotope10,0111|1010|1101,3,0111 1010 1101
